"title","duration","copyright_date"
"BABY LEAVE THE LIGHTS ON","",""
"BABY SHOES","",""
"BACK","",""
"BACK BONE","",""
"BACK IN LOVE","",""
"BACK TO THE SCENE OF THE","",""
"BACK UP","",""
"BACK WHEN IT WAS","",""
"BACK WHERE I BELONG","",""
"BAD","",""
"BAD AIR","",""
"BAD DAY","",""
"BAD ON YOU","",""
"BAD TOUCH EXAMPLE","",""
"BAGGIE'S SONG","",""
"BAHAMAS","",""
"BALLER","",""
"BALLER","",""
"BALLER BITCH","",""
"BANG BANG","",""
"BANG BANG","",""
"BANG BANG ","",""
"BANNED FROM ANOTHER CLUB","",""
"BARACK'S GRoOVE","",""
"BASIC BITCH","",""
"B-BOY PUNK ROCK 2001","",""
"BE AN EXAMPLE","",""
"BE EASY","",""
"BE JESUS TO SOMEONE TODAY","",""
"BE LIVING","",""
"BE MY BABY","",""
"BE RIGHT THERE","",""
"BE WITH YOU (VERSE 1)","",""
"BEAT TREATS","",""
"BEAUTIFUL GIRL","",""
"BEAUTIFUL, LOVED AND BLESSED","",""
"BECAUSE OF YOU","",""
"BED TIME STORY","",""
"BEDTIME STORIES","",""
"BEE AWARE","",""
"BEEN DOWN TOO LONG","",""
"BEING WITH YOU","",""
"BENEATH THE DIAMONDS","",""
"BEST FRIEND","",""
"BEST OF ME","00:03:47","12/11/2011"
"BEST TO WORST","",""
"BET I NEVER SLIP","",""
"BETTER DAYS TO COME","",""
"BETTER HOME","",""
"BETTER TOGETHER","",""
"BIG BLUE","",""
"BIG MAMA (UNCONDITIONAL LOVE)","",""
"BIG THANGS","",""
"BIRTH OF RATTO DI LABORATORIO","",""
"BITCH NIGGAS","",""
"bk anthem","",""
"BK ANTHEM","",""
"BLACK BEAUTY & THE BITCH","",""
"BLACK CLOUDS","",""
"BLACK LUNG BLUES","",""
"BLACK OUT","",""
"BLACK RENAISSANCE","",""
"BLEEDING FOR A LITTLE PIECE OF MIND","",""
"BLEND FAMZ","",""
"BLESS HIS HOLY NAME","",""
"BLESS ME","",""
"BLIND","",""
"BLOCK MUSIC (BANG)","",""
"BLOCK SHIT","",""
"BLOOD","",""
"BLOOD OF THE PROFIT","",""
"BLOW","",""
"BLUE FOR JB","",""
"BLUE HUYACINTH","",""
"BLUEBIRD DAYS","",""
"BLUES FOR THE PIANO PLAYER","",""
"BLUES FROM JALY","",""
"BLUES ON BLUES","",""
"BLUESIN IT","",""
"BO IT BI","",""
"BODY LANGUAGE","",""
"BOILING POINT","",""
"BONE 2 PIC WIT U","",""
"BONITA","",""
"BONUS TRACK","",""
"BOOGIE 2NITE","",""
"BOOM DITTY","",""
"BORN TO LIVE","",""
"BOROUGH CHECK","",""
"BOUNCE","",""
"BOUNCE THAT AZZ","",""
"BOUT MY SCRILLA","",""
"BOUT THE BASS","",""
"BRAINCHILD","",""
"BRAZILIAN MAGIC","",""
"BREAKIN' THE RULES","",""
"BREAKTIME","",""
"BREATHE","",""
"BREATHE ON ME","",""
"BRIGTHER","",""
"BRING BACK YOUR LOVE","",""
"BRING EM BACK","",""
"BRING THAT BEAT BACK","",""
"BROKEN MAN","",""
"BROKEN SILENCE","",""
"BRONX NIGGA","",""
"BROOKLYN","",""
"BROTHER","",""
"BROTHERS","",""
"BUBBLE MUSIC","",""
"BUCKLE UP","",""
"BUMPASAURUS","",""
"BURY ME A G","",""
"BUSINESS AS USUAL","",""
"BUSTED","",""
"BUTTA LUV","",""
"BY AND BYE","",""
"BY CHRISTMAST DAY","",""
"BYRD GANG GANGSTAS","",""
"CAB RIDE","",""
"CABIN IN THE TREES","",""
"CALI 2 NY","",""
"CALL HIM","",""
"CALLIN SHOTS","",""
"CALLING ME","",""
"CALM DOWN","",""
"CAME FROM NOTHIN'","",""
"CAN I GET A FLICC WITCHU","",""
"CAN I PLAY","",""
"CAN I TESTIFY","",""
"CAN T HARDLY WAIT","",""
"CAN T HELP IT","",""
"CAN T STAND YOUR MOTHER","",""
"CAN WE MAKE LOVE","",""
"CAN YOU FEEL ME BABY","",""
"CANADIAN BACON","",""
"CANDI BAR","",""
"CANDY COATED","",""
"CARRERA","",""
"CASCADE","",""
"CASTLEERS","",""
"CATCHIN' FEELINGS","",""
"CELEBRATE","",""
"CELEBRATE THE FAILURE","",""
"CELEBRITY","",""
"CELIBACY BLUES","",""
"CHAIN SWANG","",""
"CHANGE OF HEART","",""
"CHANGE UP","",""
"CHANGE YOU OR CHANGE ME","",""
"CHANGED","",""
"CHANGING","",""
"CHARLIE LAWSON'S STILL","",""
"CHASING AFTER THE WIND","",""
"CHASING AFTER YOU (THE MORNING SONG)","",""
"CHECK GAME","",""
"CHIC LIKE YOU","",""
"CHILD OF THE GHETTO","",""
"CHILD OF THE STREETS (MAN CHILD)","",""
"CHILDE","",""
"CHILL BILL","",""
"CHINATOWN","",""
"CHINESE TORTURE","",""
"CRAYOLA","",""
"CHOCOLATE GIRL","",""
"CHOCOLATE LEGS","",""
"CHOPPIN  NIGGAS UP","",""
"CHRISTINA","",""
"CHRISTMAS EVERYDAY","",""
"CHRISTMAS IS ALL ABOUT JESUS","",""
"CHYNA WHYTE","",""
"CLAP YO HANDS","",""
"CLASS ROCK","",""
"CLEAR","",""
"CLICK BANG","",""
"CLOSER","",""
"CLOSER THAN CLOSE","",""
"CLOSURE","",""
"CMON","",""
"COAT ROOM","",""
"CODA","",""
"COLD BLUE DAY","",""
"COLD CRUSH GANGSTA","",""
"cold harbor","",""
"COLLUDE","",""
"COME BE WITH ME","",""
"COME DANCE WITH ME","",""
"COME DOWN","",""
"COME FLY WITH ME","",""
"COME SEE THROUGH MY EYES","",""
"COME TO ME","",""
"COMING BACK HOME","",""
"COMING CLEAN","",""
"COMP","",""
"COMPTON BROOKYN","",""
"CONFESS WITH THY MOUTH","",""
"CONFRONTATION","",""
"CONTENTMENT","",""
"COPS AND ROBBERS","",""
"COUNTRYSIDE","",""
"COUNTY FOOL","",""
"CRADLE TO THE GRAVE","",""
"CRADLE TO THE GRAVE (JAMES GASS REMIX)","",""
"CRASH","",""
"CRAVIN","",""
"CRAYOLA","",""
"CRAZY KINGS","",""
"CRAZY PRAISE","",""
"CREW LOVE","",""
"CRIME I DIDN'T DO","",""
"CRIMINAL","",""
"CROSS BRONX EXPRESSWAY","",""
"CROSSINGS","",""
"CROSSROADS","",""
"CUPID SHOT ME","",""
"CURIOUS","",""
"DA BA DUNK SONG","",""
"DA BEEF MURRAY SHOW (SKIT)","",""
"DA FUKARY","",""
"DA HUSTLA","",""
"DA LOT","",""
"DA STORY","",""
"DANCE","",""
"DANCE","00:04:15","3/4/2003"
"DANCE OF THE NILE","",""
"DANCE SISTER","",""
"DANCE WITH ME","",""
"DANZO COMO DAVID","",""
"DARK CASTLE","",""
"DARKNESS OF DUKE","",""
"DATE WITH BABY","",""
"DATZ GANGSTA","",""
"DAVID DANCED","",""
"DAY AND NIGHT","00:04:13","8/17/2004"
"DAYDREAMIN PT TWO","",""
"DAYLIGHT","",""
"DAZE","",""
"DEDICATED","",""
"DEDICATION","",""
"DEEP END MAN","",""
"DEF EARS","",""
"DEF SQUAD DELIGHT","",""
"DEFINITION","",""
"DEFINITIVE","",""
"DEJA MY DEAR","",""
"DEJA VU","",""
"DEMOLITION HOUSE","",""
"DEMT CAN T WIN","",""
"DESCENT","",""
"DESHABILLE","",""
"DESPERADO","",""
"DETERMINED","",""
"DEVIL'S DEN","",""
"DID I EVER TELL YOU","",""
"DID THAT","",""
"DIDNT I","",""
"DIME PIECE","",""
"DIP WITH YOU","",""
"DIS-MOI TOUT BAS","",""
"DISTORTION","",""
"DIVIDED SOUL","",""
"DJ TURN IT UP","",""
"DLO CHAYE","",""
"DLO PANN","",""
"DO","",""
"DO IT FOR THE HATERS","",""
"DO IT RIGHT","",""
"DO WHAT PLAYAS DO","",""
"DO WHAT YOU DO","",""
"DO YO THUG THANG","",""
"DO YOU KNOW","",""
"DO YOU KNOW HIM?","",""
"DO YOU ONLY WANNA DANCE","",""
"DO YOU WANNA FREAK","",""
"DO YOU WANNA?","",""
"DO YOU WANT ME","",""
"DOES HE LOVE ME","",""
"DOGG HOUSE AMERICA","",""
"DOGWOOD WINTER","",""
"DOIN IT UP","",""
"DOIN THE DO","",""
"DOING ME","",""
"DOING TOO MUCH","",""
"DOLLAR BILL","",""
"MESS","",""
"DON T BE AFRAID","",""
"DON T BREAK","",""
"DON T FUCK WIT EM","",""
"DON T FUCK WITH US","",""
"DON T HATE THE PLAYER","",""
"DON T KNOW NOBODY","",""
"DON T KNOW NOBODY","",""
"DON T LET THE SMOOTH JAZZ FOOL YA","",""
"DON T LIE","",""
"DON T MAKE ME WAIT","",""
"DON T MESS WITH MY MAN","",""
"DON T NEED YOU","",""
"DON T STOP THE MUSIC","",""
"DONT TOUCH","",""
"DON T WANNA SUFFER","",""
"DON'T GET IT TWISTED","",""
"DON'T TRY TO MAKE ME LOVE YOU","",""
"DON'T WASTE MY TIME","",""
"DONTGETIT","",""
"DOOBIE KNOWS","",""
"TAKE ME OVER","",""
"DOUGLAS GRAVES","",""
"DOWNTIME","",""
"DR JACKLE","",""
"DRAGON STYLE","",""
"DRAMA","",""
"DRAMA DRAMA","",""
"DRAMACYDE","",""
"DREAMIN","",""
"DREAMING","",""
"DRIFT","",""
"DRINKING FROM A DEEPER WELL","",""
"DROP THE BOMB","",""
"DRUM AND BASS","",""
"DYING WON'T BE HARD AT ALL","",""
"EARL THATS YO LIFE","",""
"EASIER SAID THAN DONE","",""
"EASY COME, EASY GO","",""
"EASY RIDER","",""
"EDGE OF NIGHT","",""
"EGYPTIAN OASIS","",""
"EIGHTH WONDER","",""
"EL GRANDE NALGAS","",""
"ELECTRIC AVENUE","",""
"ELEGY","",""
"EMPTY HEADED CONVERSATIONS","",""
"END TO END","",""
"ENDONESIA","",""
"ENOUGH","",""
"ENOUGH SAID","",""
"ENTERTAIN THE PEOPLEZ","",""
"ERRBODY SCREAM","",""
"ES INCREDIBLE","",""
"ESA LOCA","",""
"EUROPEAN ON ME","",""
"EVENING","",""
"EVENING PRAYER","",""
"EVERY DOG MUST HAVE ITS DAY","",""
"EVERYBODY","",""
"EVERYBODY KNOWS","",""
"EVERYBODY NEEDS SOMEBODY","",""
"EVERYDAY","",""
"EVERYTHING ABOUT YOU","",""
"EVERYTHING I NEED","",""
"EVERYTHING WE WANT","",""
"EVERYTHINGS GONNA BE ALRIGHT","",""
"EXCALIBUR","",""
"EXIT","",""
"EXODUS","",""
"EXTENTED FAMILY","",""
"EXTORTION","",""
"EYES OF THE ELDERS","",""
"FACE LIKE YOURS","",""
"FAITH IS A MYSTERY","",""
"FAITHFUL","",""
"FALL IN LOVE (YOUR FUNERAL)","",""
"FALLEN SOLDIERZ","",""
"FALLIN","",""
"FALLIN IN LOVE","",""
"FALLING","",""
"FALLING IN LOVE","",""
"FANTASY","",""
"FANTASY","",""
"FANTASY","",""
"FANTASY","",""
"FAR AND AWAY","",""
"FAR AWAY","",""
"FARMER'S BLUES","",""
"FAST LANE","",""
"FATHER","",""
"FATHER LIKE SON","",""
"FATHER S LULLABY","",""
"FAVORITE FANTASY","",""
"FEAR OF YOUR  FUTURE","",""
"FEEL SO FREE","",""
"FEEL THE BASS","",""
"FEELINGS OF LOVE","",""
"FEELS GOOD (DON'T WORRY BOUTA THING)","",""
"FIESTA","",""
"FIGHT ON","",""
"FINALLY","",""
"FINALLY BACK","",""
"FINALLY GOTTCHA","",""
"FIND ME OUT ON A MOUNTAIN TOP","",""
"FIND THE WAY","",""
"FINDING YOUR WAY","",""
"FINE TIME","",""
"FINGERTIPS","",""
"FIRE & LOVE","",""
"FIRE IN WHICH YOU BURN","",""
"FIRE IT UP","",""
"FIRST LAST AND ONLY","",""
"FIRST THE SHEEP NEXT THE SHEPHERD","",""
"FISHERS OF MEN","",""
"FIVE DAYS OF FAITH","",""
"FIYA","",""
"FLIGHT OF MIND","",""
"FLY THAT RIGHT","",""
"FLYING BACK HOME","",""
"FOCUS","",""
"FOCUS","",""
"FOLK SONG","",""
"FOLLOW THE STAR","",""
"FOOD FOR THOUGHTS","",""
"FOOTPRINTS ON MY HEART","",""
"FOR NOW","",""
"FOR THE LORD HAS SPOKEN IT","",""
"FOR THE LOVE OR MONEY","",""
"FOURPLAY","",""
"FOREVER YOU AND ME","",""
"FORGET REGRET","",""
"FORGOTTEN","",""
"FREAKY","",""
"FREAKY THANGS","",""
"FREE","",""
"FREE","",""
"FREE ME","",""
"FREE SOUTH AFRICA","",""
"FREEDOM","",""
"FREEDOM","",""
"FREEDOM OF PREACH","",""
"FRESH PAIR OF PANTIES ON","",""
"FRIDAY AT THE BISTANGO","",""
"FRIEND VS FRIEND","",""
"FRIENDS","",""
"FRIENDS FOR LIFE","",""
"FRONTLINE","",""
"FROZEN SUN","",""
"FUCK FRIENDZ","",""
"FUCK ME FOR FREE OR LOVE ME FOR FREE","",""
"FUCK THA POLICE","",""
"FUCK THE ICE","",""
"FUCK WHAT CHA HEARD","",""
"FUCK YOU","",""
"FULL OF SMOKE","",""
"FUN","",""
"FUNCRUSHER SCRATCH","",""
"FUNK","",""
"FUNK FO DA BLVD","",""
"FUNKY FRESH INTERLUDE","",""
"FUNKY SOUNDS","",""
"FUNNY","",""
"FUNNY","",""
"FUZZ","",""
"GAME FACE","",""
"GAME OF DEATH","",""
"GAME TO GET OVER","",""
"GAMES","",""
"gangsta gangsta","",""
"GANGSTA GROOVE","",""
"GANGSTA IN ME","",""
"GANGSTA WAYS","",""
"GANGSTA, GANGSTA","",""
"GENERAL PATTON","",""
"GENERATION WRECKKKED","",""
"GET AWAY","",""
"GET BUSY","",""
"GET DIRTY","",""
"GET DOWN","00:03:52","7/26/2011"
"GET IT GOING","",""
"GET LOW","",""
"GET ON UP","",""
"GET OPEN","",""
"GET READY","",""
"GET RETARDED","",""
"GET STARTED","",""
"GET THIS POPPIN","",""
"GET TO KNOW ME","",""
"GET TO THIS GET TO THAT","",""
"GETTIN IT","",""
"GHETTO BOOTY","",""
"GHETTO FAIRYTALES","",""
"GHETTO QUEENS","",""
"GHOST AND A MEMORY","",""
"GIFT OF LOVE","",""
"GIGAPET EPIPHANY","",""
"GIRL","",""
"GIRL I REALLY LOVE YOU SO","",""
"GIRL TO A WOMAN","",""
"GIRLFRIEND BOYFRIEND","",""
"GIRLS U LIKE","",""
"GIVE IT UP","",""
"GIVE ME A CALL","",""
"GIVE ME WHAT I'M MISSING","",""
"GIVEN THE CIRCUMSTANCES","",""
"G-LOVE (U DON'T LOVE ME)","",""
"GO GIRL","",""
"GO HARD","",""
"GO TELL IT","",""
"GO TO WORK","",""
"GO WITH THE FLOW","",""
"GOD (GRIFF ON DUTY)","",""
"GOD BLESS","",""
"GOD BLESS MOMMY","",""
"GOD IN YOU","",""
"GOD S GOT IT","",""
"GODZILLA","",""
"GOIN LEGIT","",""
"GOIN ON","",""
"GOING HOME","",""
"GOING LEGGIT","",""
"GONE","",""
"GONE","",""
"GONE TO CAROLINA","",""
"GONNA LET YOU KNOW","",""
"GOOD GIRLS, BAD GUYS","",""
"GOOD LOVE","",""
"GOOD MORNING","",""
"GOOD NIGHT MOON","",""
"GOOD THING","",""
"GOOD TIMES","",""
"GOOD TIMES (WE SHARE)","",""
"GOOD TO ME","00:04:07","8/17/2004"
"GOODBYE","",""
"GOT MY EYES ON YOU","",""
"GOTTA BELIEVE","",""
"GOTTA BELIEVE","",""
"GOTTA GET OUT","",""
"GOTTA GIVE THE PEEPS WHAT THEY NEED","",""
"GOTTA MOVE ON","",""
"GRACE","",""
"GRACEFUL","",""
"GROOVE IN YOU","",""
"GROOVE ON","",""
"GROW","",""
"GROW UP","",""
"GUIDE ME","",""
"GUNZ AND CASH","",""
"GUNZ FOR SALE","",""
"GUNZ N ROSEZ","",""
"GWOKA","",""
"HALF A MIND","",""
"HALLELUJAH (LUDE)","",""
"HALLELUJAH MIX","00:04:22","5/29/2007"
"HANDS IN MY POCKETS","",""
"HALF A MIND","",""
"HANGOUT HUSTLE","",""
"HAPPY","",""
"HAPPY","",""
"HAPPY HAPPY JOY KILL","",""
"HARD RAINS LATELY","",""
"HARD TO GET","",""
"HARD TYMEZ","",""
"HARK ","",""
"HARLEM","",""
"HAROLDS THEME","",""
"HARRY ALLEN S INTERACTIVE SUPER HIGHWAY PHONE CALL","",""
"HATE THE RAIN","",""
"HATIN ON ME","",""
"HAVE YOU EVER","",""
"HE MAKES ME HAPPY","",""
"HE S BEEN GOOD","",""
"HEADS YOU WIN TAILS YOU LOSE","",""
"HEART TO YOURS","",""
"HEATHER AND BILLY","",""
"HEAVEN","",""
"HEAVEN CAN WAIT","",""
"HEAVEN MUST BE YOURS","",""
"HEAVEN ON EARTH","",""
"HEAVEN SCENT","",""
"HEAVENLY FATHER","",""
"HEAVYWEIGHT TITLE","",""
"HEAVYWEIGHTS ROUND 4","",""
"HELLBOUND","",""
"HENNESSEY","",""
"HENNESSEY (FEATURING OBIE TRICE)","",""
"HENNESSEY (RED SPYDA REMIX)","",""
"HERE COMES THAT FEELING AGAIN","",""
"HERE I GO","",""
"HERE TODAY GONE TOMORROW","",""
"HERE WE ARE","",""
"HERE WE COME","",""
"HERE WE GO","",""
"HEY","",""
"HEY JJ","",""
"HEY LADIES (BONUS TRACK)","",""
"HEY LOVE","",""
"HEY Y ALL","",""
"HI MAINTENANCE","",""
"HIDDEN DRAGON","",""
"HIGH AND MIGHTY JOE","",""
"HIGHWAY","",""
"HIGHWAY BOUND","",""
"HINDSIGHT","",""
"HIP HOP JAZZ","",""
"HIP HOP JAZZ INTERLUDE","",""
"HIP HOP ON WAX","",""
"HIP HOP SHIT","",""
"HIP POCKET","",""
"HIS COOLNESS","",""
"HIT EM OFF","",""
"HMMM","",""
"HOLD ME","",""
"HOLD ME DOWN","",""
"HOLD TIGHT","",""
"HOLDING ON","",""
"HOLIDAY","",""
"HOLLYWOOD","",""
"HOLY SMOKES AND GEE WHIZ","",""
"HOMAGE","",""
"HOME","",""
"HOME SWEET HOME","",""
"HOME SWEET HOME","",""
"HONEY CHILD","",""
"HOOD","",""
"HOOD I KNOW","",""
"HOOD SCRIPTURES","",""
"HOODRATS & KNUCKLEHEADS","",""
"HOODTRAPS","",""
"HOPE NOW IN HIM","",""
"HOPSCOTCH","",""
"HOPSCOTCH","",""
"HORIZONTAL HEROIN","",""
"HOT","",""
"HOT PANTS","",""
"HOUSE OF LOVE","",""
"HOUSE OF STYLE (BG CUES)","",""
"HOUSE OF THE RISING SON","",""
"HOUSE PARTY","",""
"HOW BOUT IT BABY","",""
"HOW COULD YOU SAY YOU LOVE ME","",""
"HOW DA BEAT GOES","",""
"HOW DID I","",""
"HOW DID THAT TURN INTO MY PROBLEM","",""
"HOW DOES IT FEEL","",""
"HOW I KNOW..","",""
"HOW LONG","",""
"HOW MANY TIMES (REMARKABLE)","",""
"HOW MANY WANNA","",""
"HOW WE GET DOWN","",""
"HOW WILL I KNOW","",""
"HURTS LIKE HELL","",""
"HUSTERS THEME","",""
"HUSTLE ON","",""
"HUSTLER","",""
"HUSTLER","",""
"HUSTLER/PLAYER/GAMBLER","",""
"HUSTLERS","",""
"HUSTLIN","",""
"HYPOCRITES","",""
"I","",""
"I ALWAYS FIND MYSELF","",""
"I AM","",""
"I AM A POET","",""
"I AM THE ONE","",""
"I AM WHO I AM","",""
"I APPREICATE","",""
"I BELIEVE","",""
"I CAN GO ON","",""
"I CAN'T HELP IT","",""
"I CAN'T HELP IT","",""
"I CAN T LET  YOU GO","",""
"I CAN T LIVE WITHOUT YOU","",""
"I CAN T MAKE IT HOME","",""
"I DON T CARE","",""
"I DON T CARE","",""
"I DON T CHASE EM","",""
"I DON T GIVE A FUCK","",""
"I DON T KNOW","",""
"I DON T KNOW","",""
"I DON T NEED YOU NOW","",""
"I GET BY","",""
"I GOT IT","",""
"I GOT SOMEBODY ELSE","",""
"I GOT U","",""
"I HAVE TO BE YOUR LOVER","",""
"I KNOW HOW IT FEELS","",""
"I KNOW ITS RIGHT","00:04:07","8/17/2004"
"I KNOW LOVE","",""
"I KNOW U","",""
"I LIKE DREAMING","",""
"I LIKE IT","",""
"I LIKE THE WAY SHE DO IT","",""
"I LISTEN TO THE BELLS","",""
"I LL ALWAYS BE AROUND","",""
"I LL BE ALRIGHT","",""
"I LL BE AROUND","",""
"I LL BE RIGHT BACK","",""
"I LL BE THERE","",""
"I LL BE UP THERE","",""
"I LL BE YOUR MAN","",""
"I LL FIND YOU","",""
"I LL GIVE YOU PRAISE","",""
"I LL HAVE A DOUBLE DOSE","",""
"I'LL KEEP COMING BACK","00:04:00","8/17/2004"
"I LL KEEP ON","",""
"I LL MAKE IT GOOD","",""
"I LL MAKE IT GOOD FOR YOU","",""
"I LL OBEY","",""
"I LL SHOW YOU MINE","",""
"I LL TAKE HER REMIX","",""
"I LOVE IT WHEN IT RAINS (SKIT)","",""
"I LOVE MUSIC","",""
"I LOVE YOU","",""
"I LOVE YOU","0:5:56","8/31/2004"
"I LOVE YOU ME","",""
"I LOVE YOU SO","",""
"I M CHEATING","",""
"I M GOING HOME","",""
"I M INTO YOU","",""
"I M LONELY","",""
"I M LOST","",""
"I M NOT MAD","",""
"I M SO COOL","",""
"I M SO DOWN","",""
"I M WILD ABOUT YOU","",""
"I M WITH YOU","",""
"I MADE IT","",""
"I MIGHT","",""
"I MIGHT JUST GO (PSYCHO)","",""
"I NEED","",""
"I NEED A SONG","",""
"I NEED MORE","",""
"I NEED TO KNOW","",""
"I NEED YOU","",""
"I NEED YOU","",""
"I NEVER GAVE UP","",""
"I NEVER KNEW","",""
"I PRAISE YOUR NAME","",""
"I SALUTE","",""
"I SEE U WATCHIN' ME","",""
"I SHALL RETURN","",""
"I STILL BELIEVE IN LOVE","",""
"I STILL LOVE YOU","",""
"I SURRENDER ALL","00:03:58","11/23/2004"
"I THA CHI","",""
"I USED TO LOVE PARADES","",""
"I USED TO THINK I WAS RUN","",""
"I VE GOT IT","",""
"I WAITED","",""
"I WANNA THUG","",""
"I WANT YOU","",""
"I WILL ALWAYS LOVE YOU","",""
"I WILL BE","",""
"I WON T LOOK BACK","",""
"I.YOU DON'T KNOW","",""
"ICE WATER","",""
"IF","",""
"IF I","",""
"IF I COULD DO IT ALL AGAIN","00:04:59","8/12/2003"
"IF I HAVE MY WAY","",""
"IF I KNEW THEN","",""
"IF IT FEELS GOOD","",""
"IF IT FITS","",""
"IF IT WASN T FOR YOUR LOVE","",""
"IF YOU CAME HERE TO PARTY","",""
"IF YOU GET IT RIGHT","",""
"IF YOU WANT IT","",""
"IF YOU WERE MY GIRL","",""
"IF YOU'VE GOT SOMETHING TO SAY","",""
"I'LL ALWAYS BE AROUND","",""
"I'LL BE DOWN FOR YOU","",""
"ILL NA NA","",""
"ILUVU2MUCH","",""
"I'M BACK","",""
"I'M JUST HERE TO RIDE THE TRAIN","",""
"I'M JUST SAYING","",""
"I'M ON THE MOVE","",""
"I'M SINGLE","",""
"IMAGINATION","",""
"IMITATOR","",""
"IN DA WIND (RIDE OUT REMIX)","",""
"IN HIS PRESENCE","",""
"IN MY DRAWS","",""
"IN MY DREAMS","",""
"IN STEREO","",""
"IN THE CITY","",""
"IN THE GHETTO","",""
"IN THE MORNING FEAT. DRAKE","",""
"IN THIS CITY","",""
"IN THIS LIFE TOGETHER","",""
"IN THOSE MINES","",""
"INDELIBLE HYBRID","",""
"INDIANEE","",""
"INFAMOUS MINDED","",""
"INFERNO","",""
"INFO KILL II","",""
"INTERLUDE","",""
"INTO YA","",""
"INTRO","",""
"INTRO","",""
"INTRO","",""
"INTRO  ","",""
"INTRO","",""
"INTRO","",""
"INTRO","",""
"INTRO (RIDIN' WIT ME)","",""
"INTRO 2","",""
"INTRO SKIT","",""
"INTRO/ I LL TAKE JESUS","",""
"IRAQ (SEE THE WORLD)","",""
"IRESSTIBLE","",""
"IS YOUR GOD A DOG","",""
